date,money,cards
01/01/2016,11998938747.91,1628547
02/01/2016,11998938747.91,1628547
03/01/2016,11998938747.91,1628547
04/01/2016,11998938747.91,1628547
05/01/2016,11998938747.91,1628547
06/01/2016,11998938747.91,1628547
07/01/2016,11998938747.91,1628547
08/01/2016,11998938747.91,1628547
09/01/2016,11998938747.91,1628547
10/01/2016,11998938747.91,1628547
11/01/2016,12125567207.63,1649553
12/01/2016,12125567207.63,1649553
13/01/2016,12158761070.76,1649990
14/01/2016,12158761070.76,1649990
15/01/2016,12151601456.64,1654210
16/01/2016,12151601456.64,1654210
17/01/2016,12151601456.64,1654210
18/01/2016,12501433192.38,1640199
19/01/2016,12501433192.38,1640199
20/01/2016,12501433192.38,1640199
21/01/2016,12501433192.38,1640199
22/01/2016,12508880711.86,1643620
23/01/2016,12508880711.86,1643620
24/01/2016,12508880711.86,1643620
25/01/2016,12508880711.86,1643620
26/01/2016,12508880711.86,1643620
27/01/2016,12484243758.40,1645450
28/01/2016,13312380694.67,1721032
29/01/2016,13348174711.21,1721437
30/01/2016,13348174711.21,1721437
31/01/2016,13593008174.60,1741645
01/02/2016,13593008174.60,1741645
02/02/2016,13593008174.60,1741645
03/02/2016,13593008174.60,1741645
04/02/2016,13593008174.60,1741645
05/02/2016,13593008174.60,1741645
06/02/2016,13593008174.60,1741645
07/02/2016,13593008174.60,1741645
08/02/2016,13593008174.60,1741645
09/02/2016,13593008174.60,1741645
10/02/2016,13731725114.07,1744434
11/02/2016,13731725114.07,1744434
12/02/2016,13809964747.80,1744844
13/02/2016,13809964747.80,1744844
14/02/2016,13836613723.27,1745029
15/02/2016,14908930630.94,1794778
16/02/2016,14908930630.94,1794778
17/02/2016,14908930630.94,1794778
18/02/2016,14908930630.94,1794778
19/02/2016,14909393385.45,1794964
20/02/2016,14971644834.05,1797170
21/02/2016,14971644834.05,1797170
22/02/2016,14971644834.05,1797170
23/02/2016,14998451247.78,1799103
24/02/2016,15027176547.25,1802991
25/02/2016,15121894092.54,1782218
26/02/2016,15127563097.37,1782473
27/02/2016,15166886222.71,1783737
28/02/2016,15171776222.71,1784453
29/02/2016,15766360121.95,1834952
01/03/2016,15766360121.95,1834952
02/03/2016,15766360121.95,1834952
03/03/2016,15766360121.95,1834952
04/03/2016,15760180105.05,1835168
05/03/2016,15760180105.05,1835168
06/03/2016,15760180105.05,1835168
07/03/2016,15809615398.30,1804382
08/03/2016,15809615398.30,1804382
09/03/2016,15809615398.30,1804382
10/03/2016,15854964071.49,1804382
11/03/2016,15854964071.49,1804382
12/03/2016,15854964071.49,1804382
13/03/2016,15854964071.49,1804382
14/03/2016,15854964071.49,1804382
15/03/2016,15905789244.24,1811147
16/03/2016,15905789244.24,1811147
17/03/2016,16116590336.14,1879171
18/03/2016,16116272826.29,1879231
19/03/2016,16154829205.38,1880958
20/03/2016,16154829205.38,1880958
21/03/2016,16176789923.23,1923771
22/03/2016,16176789923.23,1923771
23/03/2016,16582120305.16,1946245
24/03/2016,16595864418.86,1946284
25/03/2016,16600146339.08,1947247
26/03/2016,16600146339.08,1947247
27/03/2016,16600146339.08,1947247
28/03/2016,17012946339.08,1979686
29/03/2016,17012946339.08,1979686
30/03/2016,17429337395.07,1995593
31/03/2016,18741776453.16,2065825
01/04/2016,18741776453.16,2065825
02/04/2016,18816559345.57,2070690
03/04/2016,18816559345.57,2070690
04/04/2016,18665079345.57,2078957
05/04/2016,18665079345.57,2078957
06/04/2016,18665079345.57,2078957
07/04/2016,18369418323.96,2083187
08/04/2016,18369798967.94,2083187
09/04/2016,18369798967.94,2083187
10/04/2016,18369798967.94,2083187
11/04/2016,18294918967.94,2084169
12/04/2016,18294918967.94,2084169
13/04/2016,18089952065.07,2128158
14/04/2016,18004012065.07,2138477
15/04/2016,17993750830.80,2138904
16/04/2016,17993750830.80,2138904
17/04/2016,17993750830.80,2138904
18/04/2016,17993750830.80,2138904
19/04/2016,17937510830.80,2146432
20/04/2016,17993554304.90,2154954
21/04/2016,18037014498.22,2156886
22/04/2016,18036855779.20,2156886
23/04/2016,18036855779.20,2156886
24/04/2016,17992375779.20,2157682
25/04/2016,18208453439.28,2182266
26/04/2016,18248673439.28,2200613
27/04/2016,18307641027.53,2201404
28/04/2016,18253471027.53,2200653
29/04/2016,18234321350.71,2201168
30/04/2016,18651556924.79,2123980
01/05/2016,18645876139.71,2123984
02/05/2016,18635683959.84,2125967
03/05/2016,18635683959.84,2125967
04/05/2016,18635683959.84,2125967
05/05/2016,18660683959.84,2133209
06/05/2016,18650827502.08,2133388
07/05/2016,18695910513.91,2134188
08/05/2016,18695910513.91,2134188
09/05/2016,18735220513.91,2136923
10/05/2016,18801723291.37,2141575
11/05/2016,18820663291.37,2142315
12/05/2016,18811443291.37,2142637
13/05/2016,18811443291.37,2142637
14/05/2016,18811443291.37,2142637
15/05/2016,18753483928.17,2138707
16/05/2016,18848063928.17,2144209
17/05/2016,18832463928.17,2146901
18/05/2016,18880921671.89,2145032
19/05/2016,18880921671.89,2145032
20/05/2016,18910343467.09,2147836
21/05/2016,18953500970.09,2150265
22/05/2016,18953500970.09,2150265
23/05/2016,18939920970.09,2155120
24/05/2016,18938110970.09,2159037
25/05/2016,18938110970.09,2159037
26/05/2016,18926410970.09,2159647
27/05/2016,18926410970.09,2159647
28/05/2016,18926410970.09,2159647
29/05/2016,18926410970.09,2159647
